accelerator,model,pe_x,pe_y,total_cycle,pe_array_area_mm2,weight_buffer_area_mm2,input_buffer_area_mm2,total_area_mm2,total_macs,dram_energy_mJ,onchip_energy_mJ,total_energy_mJ,edp,log_file
BitMod (Bit-Serial),facebook/opt-2.7b,34,16,55241069.0,0.495584,0.48897,0.524382,0.495584,,16307.85,19790.25,36098.1,1994097445895.3,test_bitmod_x34_y16.log
BitMod (Bit-Serial),meta-llama/Llama-2-7b-hf,34,16,137830050.0,0.495584,0.48897,0.524382,0.495584,,40756.81,49193.48,89950.29,12397852302310.48,test_bitmod_x34_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,54,16,2777338.0,0.196992,0.51287,0.467155,0.196992,,800.72,731.49,1532.21,4255461575.9,test_olive_x54_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,54,16,3510287.0,0.196992,0.51287,0.467155,0.196992,,1009.24,936.19,1945.43,6829014664.01,test_olive_x54_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,54,16,110252351.0,0.196992,0.51287,0.467155,0.196992,,32584.07,28127.53,60711.6,6693596572893.44,test_olive_x54_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,54,16,110153796.0,0.196992,0.51287,0.467155,0.196992,,32555.05,28101.46,60656.51,6681544920532.46,test_olive_x54_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,54,16,274954917.0,0.196992,0.51287,0.467155,0.196992,,81291.89,69625.31,150917.2,41495426264998.7,test_olive_x54_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,96,16,1480797.0,0.427008,0.572565,0.524382,0.427008,,427.64,320.53,748.18,1107900183.24,test_flexposit_x96_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,96,16,1896395.0,0.427008,0.572565,0.524382,0.427008,,551.98,417.04,969.02,1837646975.78,test_flexposit_x96_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,96,16,60744782.0,0.427008,0.572565,0.524382,0.427008,,17906.17,12455.05,30361.22,1844285977140.56,test_flexposit_x96_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,96,16,66226156.0,0.427008,0.572565,0.524382,0.427008,,19549.9,13514.86,33064.76,2189751832988.93,test_flexposit_x96_y16.log
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,96,16,172147670.0,0.427008,0.572565,0.524382,0.427008,,50899.24,34901.14,85800.38,14770335406057.56,test_flexposit_x96_y16.log
Baseline (FP16),gpt2-large,76,16,5456734.0,1.145472,0.531789,0.485785,1.145472,,1604.79,944.36,2549.15,13910060317.17,test_baseline_x76_y16.log
Baseline (FP16),gpt2-xl,76,16,6865291.0,1.145472,0.531789,0.485785,1.145472,,2023.31,1218.27,3241.58,22254388523.06,test_baseline_x76_y16.log
Baseline (FP16),microsoft/phi-2,76,16,220404076.0,1.145472,0.531789,0.485785,1.145472,,65179.13,35230.19,100409.32,22130624335079.6,test_baseline_x76_y16.log
